,precision,recall,f1-score,support
G1,0.0,0.0,0.0,38.0
G10,0.0,0.0,0.0,0.0
G11,0.0,0.0,0.0,79.0
G2,0.575,0.19327731092436976,0.2893081761006289,238.0
G3,0.615530303030303,0.975975975975976,0.7549361207897793,666.0
G4,0.0,0.0,0.0,205.0
G5,0.0,0.0,0.0,49.0
G6,0.5100574712643678,0.931758530183727,0.659238625812442,381.0
G8,0.0,0.0,0.0,176.0
G9,0.0,0.0,0.0,0.0
micro avg,0.5736899563318777,0.5736899563318777,0.5736899563318777,1832.0
macro avg,0.1700587774294671,0.2101011817084073,0.17034829227028503,1832.0
weighted avg,0.40454425675213207,0.5736899563318777,0.44913358012690124,1832.0
